,Q1,Q5,Q7,Q12,Q16,Q23,Q26,
p1,1,2,0,1,1,2,2,9
p2,2,2,1,1,1,2,3,12
p3,0,0,1,1,1,1,2,6
p4,0,1,2,1,1,2,4,11
p5,4,3,3,2,1,0,2,15
p6,1,1,3,3,1,0,1,10
p7,0,1,3,3,3,3,1,14
p8,1,1,0,1,3,1,1,8
p9,0,0,0,0,4,2,4,10
p10,1,0,0,4,0,1,3,9
p11,1,1,2,2,1,1,1,9
p12,2,1,0,0,0,1,0,4
p13,1,0,2,2,1,3,4,13
p14,2,1,1,1,1,1,1,8
p15,3,0,2,0,1,2,2,10
p16,3,3,1,3,3,1,2,16
p17,2,3,3,3,2,2,3,18
p18,2,2,2,4,2,3,3,18
p19,1,0,3,4,4,3,2,17
p20,2,1,1,1,1,1,1,8
p21,1,0,1,1,0,3,4,10
p22,0,1,1,0,3,3,1,9
p23,1,2,2,3,2,0,2,12
p24,0,0,0,0,2,1,1,4
p25,0,1,3,0,2,2,4,12
p26,3,3,1,1,0,4,0,12
p27,1,2,3,0,1,2,3,12
p28,2,1,2,1,4,1,2,13
p29,1,1,0,1,2,0,0,5
p30,0,1,0,0,4,0,2,7
p31,1,1,0,0,2,2,2,8
p32,1,1,1,0,2,3,1,9
p33,0,2,2,0,1,0,1,6
p34,0,0,0,1,3,0,2,6
p35,2,2,4,1,2,2,3,16
p36,2,1,0,0,1,1,2,7
p37,1,1,1,0,1,2,1,7
p38,0,0,2,0,0,1,3,6
p39,1,1,1,1,1,2,2,9
p40,0,1,1,0,2,0,1,5
p41,1,2,1,1,3,1,3,12
p42,3,4,0,2,3,0,3,15
p43,0,0,1,4,0,0,1,6
p44,2,3,1,3,1,3,0,13
p45,0,0,4,4,1,1,3,13
p46,0,0,2,0,2,1,1,6
p47,1,0,1,0,1,0,0,3
p48,1,0,4,3,2,3,1,14
p49,3,3,1,1,1,2,2,13
p50,2,1,1,0,1,3,3,11
p51,1,1,3,2,2,1,3,13
p52,1,1,1,2,1,1,3,10
p53,3,3,2,1,1,1,1,12
p54,3,3,0,2,4,3,1,16
p55,0,0,1,1,0,1,0,3
p56,2,2,2,1,2,2,3,14
p57,0,1,2,1,1,0,2,7
p58,1,0,1,0,0,0,4,6
p59,0,1,0,3,1,2,1,8
p60,0,1,1,1,1,1,2,7
p61,0,1,1,2,2,1,1,8
p62,1,2,1,2,1,2,1,10
p63,0,2,0,0,0,4,0,6
p64,4,4,0,0,4,0,2,14
p65,0,0,1,4,0,1,3,9
p66,1,2,1,0,0,0,4,8
p67,0,2,0,0,0,3,2,7
p68,3,2,0,1,0,0,1,7
p69,1,0,1,4,2,2,3,13
p70,0,0,2,1,4,2,4,13
p71,1,1,3,1,4,1,1,12
p72,2,0,0,4,0,0,0,6
p73,2,2,2,4,3,0,3,16
p74,0,0,4,2,0,0,1,7
p75,0,1,2,1,2,2,3,11
p76,0,1,2,0,1,1,1,6
p77,1,2,1,1,2,2,1,10
p78,1,2,2,2,2,2,2,13
p79,0,1,1,0,0,1,1,4
p80,0,3,2,3,4,1,1,14
p81,1,2,1,0,0,4,3,11
p82,3,3,2,1,3,2,2,16
p83,3,3,0,0,1,2,3,12
p84,0,0,3,3,2,1,4,13
p85,2,0,4,2,3,3,0,14
p86,0,0,2,1,3,0,2,8
p87,0,2,1,4,0,0,3,10
p88,1,1,2,1,0,1,0,6
p89,0,0,0,0,3,2,1,6
p90,3,1,1,0,0,2,0,7
p91,1,1,3,3,2,0,3,13
p92,3,0,1,1,4,4,0,13
p93,2,0,1,0,1,1,1,6
p94,0,1,1,1,1,1,2,7
p95,0,0,0,0,0,0,0,0
p96,1,0,3,2,1,1,2,10
p97,3,2,3,2,2,2,2,16
p98,2,3,0,1,0,3,2,11
p99,2,2,4,4,1,4,3,20
p100,1,1,2,2,1,0,2,9
p101,0,0,3,3,0,1,2,9
p102,2,1,0,0,0,1,4,8
p103,2,2,2,4,0,3,2,15
p104,2,2,2,2,2,2,2,14
p105,2,1,0,3,3,1,2,12
p106,0,0,1,1,0,2,2,6
p107,1,1,2,3,2,3,3,15
p108,2,2,1,1,1,2,3,12
p109,4,1,0,1,0,2,2,10
p110,4,1,1,3,2,2,1,14
p111,3,2,4,1,3,3,1,17
p112,1,2,3,2,1,2,1,12
p113,3,4,0,0,1,0,0,8
p114,4,0,1,4,0,1,3,13
p115,2,2,2,1,1,1,2,11
p116,1,3,0,0,3,3,1,11
p117,3,3,1,0,0,2,1,10
p118,1,2,1,1,1,1,1,8
p119,2,0,3,1,0,2,1,9
p120,1,0,1,0,0,0,1,3
p121,1,1,1,3,1,2,2,11
p122,0,0,2,0,3,1,0,6
p123,1,2,2,1,2,1,1,10
p124,1,2,2,2,1,1,3,12
p125,2,3,1,1,1,1,1,10
p126,2,3,1,1,3,1,4,15
p127,4,1,1,0,0,3,2,11
p128,1,2,1,0,2,3,3,12
p129,0,3,3,3,1,1,3,14
p130,0,3,1,1,1,2,2,10
p131,0,1,0,3,0,4,2,10
p132,2,2,3,4,1,2,2,16
p133,1,1,2,1,2,3,2,12
p134,2,3,1,1,1,2,2,12
p135,2,3,2,1,2,3,2,15
p136,2,2,3,2,2,1,1,13
p137,2,1,1,1,2,3,3,13
p138,2,0,0,3,0,2,2,9
p139,1,2,3,1,0,2,3,12
p140,1,3,0,2,1,3,2,12
p141,0,3,0,2,1,2,4,12
p142,3,3,3,0,0,3,4,16
p143,2,3,2,1,3,1,1,13
p144,3,2,2,1,3,3,4,18
p145,1,3,2,4,2,0,3,15
p146,3,3,2,2,4,4,2,20
p147,1,1,2,1,4,2,1,12
p148,0,4,2,0,1,3,2,12
p149,1,4,0,1,1,3,3,13
p150,2,4,1,1,3,1,4,16
p151,3,1,3,1,3,3,3,17
p152,1,3,1,1,1,2,3,12
p153,2,2,4,2,0,3,3,16
p154,0,2,3,3,1,2,1,12
p155,1,4,1,2,1,2,2,13
p156,0,0,3,0,0,0,4,7
p157,4,2,0,2,1,1,1,11
p158,1,2,1,1,0,1,2,8
p159,1,4,3,1,1,3,3,16
p160,3,2,3,2,0,4,2,16
p161,3,4,1,0,2,2,3,15
p162,0,4,2,3,0,0,4,13
p163,1,2,3,0,1,3,0,10
p164,3,5,4,4,1,5,5,27
p165,3,5,1,4,3,3,4,23
p166,3,3,3,2,3,5,2,21
p167,2,4,3,2,3,2,2,18
p168,1,4,3,2,2,3,5,20
,4,2,3,3,1,3,1,17
,2,1,1,3,4,2,1,14
,4,0,4,4,1,2,2,17
,2,1,2,3,3,1,2,14
,3,0,2,0,2,0,3,10
,3,2,1,3,1,1,2,13
,2,3,1,1,1,2,1,11
,3,0,3,1,4,1,3,15
,2,1,3,3,3,2,1,15
,4,1,3,2,3,1,1,15
,4,1,4,2,3,1,0,15
,4,0,2,4,4,0,3,17
,4,0,3,4,3,4,0,18
,2,2,3,4,1,1,1,14