,Q6,Q10,Q13,Q17,Q19,Q24,Q27,
p1,2,2,4,1,2,2,1,14
p2,1,1,2,1,2,2,3,12
p3,0,2,2,1,3,2,3,13
p4,0,2,4,1,4,4,4,19
p5,4,2,1,2,3,1,2,15
p6,0,2,2,1,3,3,3,14
p7,0,3,0,3,4,4,4,18
p8,2,2,1,3,3,2,3,16
p9,0,0,0,0,0,4,4,8
p10,0,0,1,0,4,4,4,13
p11,1,2,1,1,3,2,3,13
p12,4,0,3,1,2,1,1,12
p13,1,2,3,1,0,3,4,14
p14,2,1,2,1,2,2,2,12
p15,2,2,3,1,2,2,4,16
p16,2,4,2,2,2,2,3,17
p17,1,3,2,1,3,3,3,16
p18,4,1,2,0,3,2,3,15
p19,0,4,4,1,4,3,4,20
p20,0,2,3,2,2,1,2,12
p21,1,0,2,0,3,4,3,13
p22,2,0,2,1,2,1,3,11
p23,2,3,2,1,3,3,3,17
p24,0,0,2,0,1,3,2,8
p25,1,2,3,0,0,3,4,13
p26,4,0,3,1,2,1,3,14
p27,1,1,3,0,3,4,4,16
p28,2,4,2,4,2,3,3,20
p29,1,0,2,0,2,2,2,9
p30,0,1,0,1,1,1,1,5
p31,2,0,3,0,3,3,3,14
p32,2,3,3,1,3,3,3,18
p33,1,0,2,0,3,1,3,10
p34,1,1,2,2,4,2,4,16
p35,2,1,1,0,3,1,0,8
p36,3,0,2,2,2,4,3,16
p37,1,0,1,1,2,1,2,8
p38,0,0,4,1,4,3,3,15
p39,2,2,3,1,2,3,3,16
p40,0,0,3,0,2,2,4,11
p41,2,2,2,4,3,3,2,18
p42,4,1,1,0,2,0,0,8
p43,1,0,3,0,3,2,4,13
p44,3,0,2,0,3,2,4,14
p45,1,1,3,1,2,4,3,15
p46,0,2,2,2,3,2,3,14
p47,4,0,1,1,2,1,1,10
p48,2,3,3,2,3,3,3,19
p49,2,2,1,2,2,2,2,13
p50,3,0,3,0,3,1,3,13
p51,2,2,1,2,0,3,4,14
p52,2,4,2,4,1,1,2,16
p53,3,2,3,0,1,2,1,12
p54,3,3,1,4,2,4,3,20
p55,3,0,3,0,1,0,0,7
p56,1,2,1,1,3,3,4,15
p57,1,1,2,2,1,2,1,10
p58,3,0,2,0,4,1,4,14
p59,2,1,1,1,3,3,3,14
p60,3,2,3,0,3,1,3,15
p61,2,2,3,2,1,3,1,14
p62,2,1,2,1,3,1,3,13
p63,0,0,0,0,4,4,4,12
p64,3,2,3,3,1,1,2,15
p65,0,0,3,0,2,2,3,10
p66,3,1,0,1,1,0,1,7
p67,4,0,3,0,2,2,3,14
p68,2,0,2,0,1,3,2,10
p69,1,3,3,4,3,2,3,19
p70,0,4,3,4,2,4,4,21
p71,3,3,3,3,2,1,2,17
p72,3,0,3,0,2,2,0,10
p73,2,4,2,3,2,1,3,17
p74,0,1,2,1,1,1,1,7
p75,2,4,3,1,3,4,4,21
p76,1,2,2,2,2,2,2,13
p77,3,2,2,2,1,2,1,13
p78,1,3,2,1,3,2,2,14
p79,3,0,1,0,3,3,3,13
p80,3,3,2,4,2,3,2,19
p81,3,0,1,0,2,3,3,12
p82,1,1,2,2,2,2,2,12
p83,3,2,3,1,3,2,3,17
p84,1,2,3,1,4,4,4,19
p85,3,3,4,1,3,4,3,21
p86,1,1,2,4,1,1,1,11
p87,3,4,3,4,2,3,4,23
p88,2,1,4,0,1,0,3,11
p89,1,2,3,3,2,1,4,16
p90,4,0,1,0,1,0,1,7
p91,3,3,3,1,4,3,4,21
p92,4,3,4,4,3,4,4,26
p93,2,0,1,2,3,2,3,13
p94,2,1,3,0,1,2,1,10
p95,2,0,0,0,2,2,3,9
p96,2,2,3,2,4,0,0,13
p97,2,1,2,2,1,0,3,11
p98,4,0,3,0,1,2,1,11
p99,0,2,0,1,0,3,4,10
p100,0,1,3,1,3,2,1,11
p101,0,1,4,1,4,1,2,13
p102,1,0,0,0,1,1,3,6
p103,2,0,2,0,1,3,3,11
p104,2,2,1,2,2,2,2,13
p105,2,3,2,3,2,2,2,16
p106,1,2,1,1,3,3,3,14
p107,2,2,3,2,3,3,3,18
p108,0,1,3,0,3,2,3,12
p109,2,1,3,1,4,2,3,16
p110,3,1,1,2,2,2,3,14
p111,3,3,2,3,1,2,2,16
p112,3,1,2,1,1,2,2,12
p113,4,1,0,2,1,0,2,10
p114,4,0,1,0,4,4,1,14
p115,2,2,2,2,3,1,2,14
p116,4,1,1,1,1,1,1,10
p117,3,0,2,0,2,2,3,12
p118,2,1,1,1,2,2,2,11
p119,1,2,1,1,4,2,3,14
p120,1,0,3,1,1,1,1,8
p121,1,1,3,1,2,2,2,12
p122,0,0,4,0,3,1,4,12
p123,1,3,3,2,2,1,3,15
p124,2,3,3,2,3,2,3,18
p125,2,1,1,2,2,1,4,13
p126,1,1,2,1,3,3,4,15
p127,1,0,0,2,3,1,1,8
p128,1,1,1,3,3,1,1,11
p129,2,3,2,1,1,3,1,13
p130,3,2,2,3,3,3,1,17
p131,3,1,1,4,4,3,1,17
p132,1,0,3,2,2,2,1,11
p133,2,3,1,1,2,3,2,14
p134,3,0,1,1,3,4,0,12
p135,2,0,1,2,2,1,2,10
p136,2,2,2,2,2,2,2,14
p137,1,2,2,3,3,3,1,15
p138,0,2,3,3,4,1,0,13
p139,1,0,1,3,4,1,0,10
p140,2,1,0,4,4,0,2,13
p141,4,1,1,4,3,3,0,16
p142,1,1,1,1,1,2,0,7
p143,2,1,1,2,2,2,1,11
p144,0,0,2,3,2,4,4,15
p145,2,2,4,3,2,3,1,17
p146,2,1,0,4,4,4,2,17
p147,0,2,3,4,4,4,0,17
p148,2,0,0,4,3,1,2,12
p149,4,3,0,4,3,3,3,20
p150,4,3,1,1,2,1,3,15
p151,1,3,2,2,2,3,1,14
p152,2,1,0,4,3,2,1,13
p153,1,4,1,2,4,3,0,15
p154,1,1,1,3,1,1,2,10
p155,3,0,2,1,4,2,2,14
p156,0,0,4,4,4,4,0,16
p157,0,4,0,4,4,0,3,15
p158,4,1,2,3,3,2,0,15
p159,2,0,0,3,4,3,0,12
p160,1,2,0,4,4,3,3,17
p161,3,1,0,4,4,4,2,18
p162,3,0,1,3,4,3,0,14
p163,3,4,1,1,3,1,2,15
p164,5,5,4,5,0,1,1,21
p165,5,1,3,1,0,3,2,15
p166,4,2,2,4,0,2,3,17
p167,3,1,3,4,1,3,1,16
p168,4,2,2,4,1,4,2,19
,2,1,1,0,1,2,3,10
,2,3,1,1,0,0,4,11
,0,1,4,1,1,2,3,12
,3,3,4,1,1,2,3,17
,2,0,1,1,1,2,1,8
,2,3,2,2,1,1,2,13
,2,1,3,2,2,1,1,12
,1,3,2,4,0,1,1,12
,1,1,3,1,2,1,3,12
,2,3,3,1,1,2,2,14
,1,2,2,2,2,2,3,14
,0,2,4,1,1,1,3,12
,0,3,4,2,1,2,3,15
,1,1,2,1,3,2,2,12