,"[In most ways, my life is close to my ideal]",[The conditions of my life are excellent],[I am satisfied with my life],[So far I have gotten the important things that I want in my life],"[If I could live my life over, I would change almost nothing]",Total score
p1,1,1,1,1,1,5
p2,3,3,1,1,1,9
p3,6,7,7,6,2,28
p4,5,6,6,6,7,30
p5,2,1,2,2,2,9
p6,6,6,6,6,6,30
p7,3,3,5,7,4,22
p8,6,5,5,7,7,30
p9,5,6,6,7,5,29
p10,3,4,3,2,4,16
p11,1,3,5,1,1,11
p12,4,6,6,6,4,26
p13,7,7,7,7,7,35
p14,5,4,3,4,3,19
p15,3,6,6,5,6,26
p16,6,5,5,6,5,27
p17,1,6,1,2,1,11
p18,2,4,1,2,1,10
p19,7,6,5,7,7,32
p20,2,2,2,3,1,10
p21,5,4,6,7,3,25
p22,2,4,3,3,1,13
p23,1,1,3,1,1,7
p24,1,1,4,4,5,15
p25,5,6,6,6,1,24
p26,4,4,5,5,2,20
p27,5,5,4,4,2,20
p28,2,4,3,3,2,14
p29,2,4,1,2,1,10
p30,2,3,1,2,4,12
p31,5,7,5,7,7,31
p32,4,4,4,4,3,19
p33,4,5,5,6,7,27
p34,4,4,6,5,4,23
p35,2,4,4,7,5,22
p36,2,5,5,4,1,17
p37,3,3,5,3,2,16
p38,2,5,4,3,5,19
p39,5,5,3,2,2,17
p40,2,3,5,2,3,15
p41,1,1,2,2,2,8
p42,1,4,5,2,4,16
p43,6,6,7,6,7,32
p44,3,3,3,3,1,13
p45,2,2,3,5,3,15
p46,6,6,6,5,5,28
p47,4,3,2,1,1,11
p48,6,5,3,3,1,18
p49,6,5,6,6,6,29
p50,2,5,2,2,1,12
p51,1,2,1,1,1,6
p52,4,4,4,4,3,19
p53,3,7,6,4,3,23
p54,2,2,1,2,1,8
p55,1,6,2,4,2,15
p56,4,6,7,5,7,29
p57,5,5,6,7,5,28
p58,5,7,4,5,3,24
p59,4,4,4,4,3,19
p60,5,5,5,3,4,22
p61,6,6,7,5,2,26
p62,4,4,5,5,1,19
p63,1,1,1,1,1,5
p64,4,5,6,7,1,23
p65,3,3,3,3,2,14
p66,2,3,6,6,3,20
p67,1,1,1,1,1,5
p68,3,6,6,5,6,26
p69,6,6,5,2,2,21
p70,3,3,3,3,2,14
p71,5,5,5,6,2,23
p72,1,1,1,1,1,5
p73,2,2,1,4,3,12
p74,1,3,3,5,7,19
p75,6,5,7,6,2,26
p76,2,2,2,5,1,12
p77,2,6,5,5,2,20
p78,4,4,3,2,3,16
p79,1,2,1,7,2,13
p80,3,3,3,5,2,16
p81,3,6,4,2,1,16
p82,3,5,4,3,2,17
p83,5,4,5,3,4,21
p84,1,1,1,1,7,11
p85,2,4,1,3,2,12
p86,1,1,2,2,1,7
p87,6,7,7,6,2,28
p88,4,3,2,5,1,15
p89,5,5,5,7,7,29
p90,1,5,2,1,1,10
p91,3,2,4,5,1,15
p92,1,1,1,1,2,6
p93,2,2,3,5,2,14
p94,1,3,1,2,1,8
p95,5,2,2,4,3,16
p96,4,5,6,5,5,25
p97,2,4,3,3,4,16
p98,4,4,6,5,3,22
p99,2,2,2,2,2,10
p100,2,5,5,5,3,20
p101,6,4,6,6,1,23
p102,3,4,5,3,1,16
p103,1,3,1,2,1,8
p104,1,2,2,2,1,8
p105,2,3,2,4,4,15
p106,3,4,3,4,6,20
p107,2,6,2,2,2,14
p108,2,3,2,4,5,16
p109,2,4,4,1,2,13
p110,5,4,2,2,2,15
p111,2,3,3,2,3,13
p112,1,4,2,4,3,14
p113,3,3,4,2,3,15
p114,2,7,4,4,7,24
p115,3,6,6,6,6,27
p116,2,4,3,2,3,14
p117,2,1,2,2,1,8
p118,5,6,5,5,4,25
p119,6,6,6,5,2,25
p120,4,5,5,6,5,25
p121,4,4,4,3,3,18
p122,4,2,1,1,1,9
p123,3,3,4,5,5,20
p124,5,4,5,4,3,21
p125,7,7,7,1,2,24
p126,2,2,2,2,4,12
p127,4,5,6,6,2,23
p128,4,5,4,5,4,22
p129,1,2,2,2,1,8
p130,2,2,3,5,5,17
p131,2,2,4,2,2,12
p132,3,5,4,5,5,22
p133,2,3,3,5,2,15
p134,6,7,7,5,7,32
p135,3,4,3,4,5,19
p136,4,4,4,4,4,20
p137,5,5,5,6,6,27
p138,2,3,1,1,3,10
p139,3,3,3,4,2,15
p140,3,2,3,4,1,13
p141,2,5,3,5,5,20
p142,3,5,4,4,5,21
p143,3,3,3,2,2,13
p144,3,2,2,3,3,13
p145,5,5,6,3,4,23
p146,3,3,3,3,3,15
p147,4,4,6,5,2,21
p148,2,5,4,4,1,16
p149,2,4,3,5,3,17
p150,4,3,4,6,3,20
p151,3,4,5,3,3,18
p152,3,4,6,5,5,23
p153,2,2,1,1,2,8
p154,4,3,2,3,2,14
p155,4,6,4,2,2,18
p156,7,7,7,7,7,35
p157,4,4,3,3,3,17
p158,4,6,5,4,1,20
p159,2,6,1,5,6,20
p160,1,2,2,2,1,8
p161,3,6,5,4,5,23
p162,4,5,4,5,3,21
p163,1,3,3,1,1,9
p164,7,7,6,7,6,33
p165,2,3,3,3,2,13
p166,2,3,2,2,2,11
p167,3,3,5,6,4,21
p168,3,2,3,3,2,13
p169,1,6,2,4,4,17
p170,6,7,5,5,7,30
p171,1,1,2,1,1,6
p172,3,3,3,4,3,16
p173,2,1,4,3,1,11
p174,6,6,5,3,3,23
p175,3,3,2,3,3,14
p176,4,4,4,6,6,24
p177,6,6,7,5,6,30
p178,3,4,5,5,5,22
p179,6,6,7,6,6,31
p180,6,7,7,7,3,30
p181,2,3,4,5,4,18
p182,4,4,5,4,5,22
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Variances,2.7171201814059,2.72020266439909,3.21396683673469,3.29365079365079,3.55442176870748,
,,,,,,
# of ques,5,,,,,
sum of item variances,13,,,,,
variance of total scores,48.7787698412698,,,,,
cronbach's alpha,0.916863267505949,,,,,
